side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
short,1,pump_le0,fund_flat,e2324,131,68,294.2196647664507,-8.481281679389312,240.7383830870613,195.7383830870613,211.13767611392578,486.47076122517535,0.6259541984732825
short,1,pump_le0,fund_flat,e2526,156,63,-104.20218197383055,-37.1421,-186.34428197383048,-231.34428197383056,975.2724983607254,1060.3370825903191,0.6987179487179487
short,1,pump_le0,fund_flat,pre2025,200,99,246.37058755192015,-5.869633999999999,195.5009535519202,150.5009535519201,195.80840391536415,501.8328908961521,0.62
short,1,pump_le0,fund_flat,post2025,156,63,-104.20218197383055,-37.1421,-186.34428197383048,-231.34428197383056,986.9816590256013,1060.3370825903191,0.6987179487179487
short,2,pump_le0,fund_flat,pooled,351,168,-48.141835509328985,-8.736510541310542,-101.87834605063959,-146.87834605063946,384.4795488874895,507.51065336976353,0.6267806267806267
short,2,pump_le0,fund_flat,e2122,68,33,-7.078033703129895,0.05488823529411764,-52.023145467835796,-97.02314546783583,391.6062723053265,292.99424304215523,0.5882352941176471
short,2,pump_le0,fund_flat,e2324,124,68,-30.843759268981653,1.3795854838709656,-74.46417378511069,-119.46417378511067,234.12113403080545,119.04207710283778,0.5483870967741935
short,2,pump_le0,fund_flat,e2526,159,67,-79.19403662017547,-20.38563647798742,-144.579673098163,-189.579673098163,815.966626485364,893.7192952100015,0.7044025157232704
short,2,pump_le0,fund_flat,pre2025,192,101,-22.426731464409134,0.9104218749999992,-66.5163095894091,-111.51630958940913,209.75445761363804,173.73242894719147,0.5625
short,2,pump_le0,fund_flat,post2025,159,67,-79.19403662017547,-20.38563647798742,-144.579673098163,-189.579673098163,788.7242218821843,893.7192952100015,0.7044025157232704
long,1,pump_le0,fund_flat,pooled,356,162,-92.74881214175976,19.573298876404493,-118.17551326535525,-163.17551326535516,456.4519752004034,-774.1824856016202,0.32303370786516855
