symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
MAGMAUSDT,2026-01-01,e2526,-0.010062026188835449,2,24,48
MANTAUSDT,2024-01-19,e2324,0.04464203446051784,1,24,48
MANTRAUSDT,2026-03-05,e2526,-0.19806560134566864,2,24,48
MASKUSDT,2021-08-27,e2122,0.09540298507462674,1,21,24
MAVIAUSDT,2024-02-22,e2324,-0.05159472129637166,2,24,48
MAVUSDT,2023-06-30,e2324,0.03295915930260329,0,24,24
MBLUSDT,2023-11-15,e2324,-0.09888059701492546,4,24,48
MBOXUSDT,2024-08-29,e2324,-0.05895691609977316,6,24,48
MDTUSDT,2023-07-01,e2324,-0.005866249511145782,1,24,24
MEGAUSDT,2026-01-31,e2526,-0.01483977346046328,6,24,48
MELANIAUSDT,2025-01-21,e2526,-0.08187599364069953,6,24,48
MEMEFIUSDT,2025-04-26,e2526,0.3189992181391712,4,24,48
MEMEUSDT,2023-11-04,e2324,-0.24218154080854315,6,24,48
MERLUSDT,2025-05-30,e2526,-0.13098685676097133,4,24,48
METAUSDT,2026-03-27,e2526,-0.05384880911287537,5,24,24
METISUSDT,2024-03-13,e2324,-0.03752373718192181,0,24,48
METUSDT,2025-10-12,e2526,-0.0946606564662561,6,24,48
MEUSDT,2024-12-11,e2324,-0.20492383988664542,9,24,48
MEWUSDT,2024-06-18,e2324,-0.1321222130470685,2,24,48
MILKUSDT,2025-05-07,e2526,-0.14114090838629667,8,24,48
MINAUSDT,2023-02-08,e2324,-0.14224487431947175,3,24,24
MIRAUSDT,2025-09-27,e2526,-0.21630442330393718,6,24,192
MITOUSDT,2025-08-29,e2526,0.089376915219612,6,24,48
MLNUSDT,2025-04-01,e2526,-0.16934865900383145,6,24,48
MMTUSDT,2025-11-05,e2526,-0.805214665290362,3,24,48
MOCAUSDT,2024-12-17,e2324,-0.22444183313748522,9,24,48
MONUSDT,2025-10-11,e2526,0.015812170579779572,5,24,48
MOODENGUSDT,2024-10-26,e2324,-0.06339166166489674,4,24,48
MORPHOUSDT,2024-11-28,e2324,-0.22681908909453818,6,24,48
MOVEUSDT,2024-12-10,e2324,0.017386579733768004,4,24,48
MOVRUSDT,2023-12-27,e2324,-0.2553176913855112,0,24,48
