side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
long,2,fund_neg,pre2025,32,26,-187.07348037788057,292.703959375,60.630478997119425,15.630478997119452,387.98111514754174,-553.7410089243772,0.34375,fund_cell
long,2,fund_neg,post2025,43,32,932.7198328788837,370.4671604651163,1258.1869933439998,1213.1869933439996,990.5904637618798,-524.2474602584697,0.37209302325581395,fund_cell
long,2,fund_flat,pooled,446,167,-143.2575302413352,39.67104663677131,-148.58648360456394,-193.5864836045639,151.45992084596207,-488.53235665875684,0.36995515695067266,fund_cell
long,2,fund_flat,e2122,41,33,-184.4810006496226,6.280295121951216,-223.20070552767146,-268.20070552767146,362.86908172821757,-691.4036446408257,0.4146341463414634,fund_cell
long,2,fund_flat,e2324,169,70,18.381696236457262,-3.1331940828402387,-29.75149784638298,-74.751497846383,233.42478330613713,-414.9490180127263,0.3431952662721893,fund_cell
long,2,fund_flat,e2526,236,65,-251.84594968204348,76.1241716101695,-220.72177807187396,-265.721778071874,228.48922631363334,-556.0851429185732,0.3813559322033898,fund_cell
long,2,fund_flat,pre2025,210,103,-21.224830298444093,-1.2953223809523815,-67.52015267939645,-112.52015267939642,199.40146940510556,-439.2423713017048,0.35714285714285715,fund_cell
long,2,fund_flat,post2025,236,65,-251.84594968204348,76.1241716101695,-220.72177807187396,-265.721778071874,231.68236777745722,-556.0851429185732,0.3813559322033898,fund_cell
long,2,fund_pos,pooled,79,59,-630.2187689009382,-87.99580759493671,-763.2145764958749,-808.2145764958749,253.7477354583237,-806.1852020625366,0.2911392405063291,fund_cell
long,2,fund_pos,e2122,5,5,-1110.6750337734886,-92.20735999999998,-1247.8823937734885,-1292.8823937734885,342.258432019397,-1281.0748385686306,0.0,fund_cell
long,2,fund_pos,e2324,35,25,-909.291110180653,-85.71641714285715,-1040.00752732351,-1085.00752732351,256.8701061675093,-1118.5638984106065,0.22857142857142856,fund_cell
long,2,fund_pos,e2526,39,29,-318.17227482009804,-89.50147179487179,-452.6737466149696,-497.6737466149698,431.6510539516634,-181.29555615072044,0.38461538461538464,fund_cell
long,2,fund_pos,pre2025,40,30,-934.4641006297572,-86.527785,-1065.9918856297575,-1110.9918856297575,235.68258390514788,-1160.7927572247447,0.2,fund_cell
long,2,fund_pos,post2025,39,29,-318.17227482009804,-89.50147179487179,-452.6737466149696,-497.6737466149698,438.08852227356704,-181.29555615072044,0.38461538461538464,fund_cell
long,2,fund_none,pooled,59,6,15.792448867557074,-2.6121728813559324,-31.819724013798858,-76.81972401379885,181.3486236547872,-11.36942747252614,0.4915254237288136,fund_cell
long,2,fund_none,e2122,0,,,,,,,,,fund_cell
long,2,fund_none,e2324,0,,,,,,,,,fund_cell
long,2,fund_none,e2526,59,6,15.792448867557074,-2.6121728813559324,-31.819724013798858,-76.81972401379885,169.62951665254604,-11.36942747252614,0.4915254237288136,fund_cell
long,2,fund_none,pre2025,0,,,,,,,,,fund_cell
long,2,fund_none,post2025,59,6,15.792448867557074,-2.6121728813559324,-31.819724013798858,-76.81972401379885,178.13866372041062,-11.36942747252614,0.4915254237288136,fund_cell
short,1,crowd_01,pooled,129,97,338.5870508472396,-61.93683255813954,231.6502182891001,186.65021828909997,241.104737248538,750.5814380142142,0.6201550387596899,crowd_cell
short,1,crowd_01,e2122,49,38,323.23548719491345,-25.336063265306123,252.89942392960728,207.89942392960725,335.74758857180063,853.5090351786959,0.6530612244897959,crowd_cell
short,1,crowd_01,e2324,56,41,240.09281709651304,-85.52618035714285,109.5666367393702,64.56663673937018,334.08357861097977,415.46001149395136,0.5714285714285714,crowd_cell
short,1,crowd_01,e2526,24,18,599.7497053891007,-81.62159166666667,473.12811372243385,428.1281137224339,728.2935233715726,1151.9799634286535,0.6666666666666666,crowd_cell
short,1,crowd_01,pre2025,105,79,278.89272980909993,-57.43745904761904,176.45527076148085,131.45527076148082,238.6405299892516,686.475619014177,0.6095238095238096,crowd_cell
short,1,crowd_01,post2025,24,18,599.7497053891007,-81.62159166666667,473.12811372243385,428.1281137224339,709.5483049165468,1151.9799634286535,0.6666666666666666,crowd_cell
short,1,crowd_24,pooled,236,96,19.606914111162826,-111.31996271186439,-136.7130486007016,-181.71304860070148,291.9205211462902,497.5279110817975,0.6398305084745762,crowd_cell
short,1,crowd_24,e2122,3,2,2998.387008276088,-74.2171,2879.1699082760883,2834.169908276088,740.6204432944651,2777.715367097968,1.0,crowd_cell
short,1,crowd_24,e2324,119,54,251.15287027864153,-16.160612605042015,189.9922576735996,144.99225767359954,218.70892397152477,489.5480607389904,0.6386554621848739,crowd_cell
short,1,crowd_24,e2526,114,41,-300.4835162960718,-211.62935964912282,-557.1128759451946,-602.1128759451944,546.4355817047217,479.60623871813686,0.631578947368421,crowd_cell
short,1,crowd_24,pre2025,122,56,318.7078080982509,-17.58823114754098,256.11957695070987,211.1195769507098,221.40351041554,525.978007461286,0.6475409836065574,crowd_cell
short,1,crowd_24,post2025,114,41,-300.4835162960718,-211.62935964912282,-557.1128759451946,-602.1128759451944,523.5228692697647,479.60623871813686,0.631578947368421,crowd_cell
short,1,crowd_ge5,pooled,294,58,32.08722814156904,-37.51449149659864,-50.427263355029645,-95.42726335502962,241.50193055545395,269.3898566018179,0.5952380952380952,crowd_cell
short,1,crowd_ge5,e2122,0,,,,,,,,,crowd_cell
short,1,crowd_ge5,e2324,55,15,-149.64426747240793,-17.17176545454545,-211.8160329269534,-256.8160329269534,636.2608412027131,541.1684018348625,0.6545454545454545,crowd_cell
short,1,crowd_ge5,e2526,239,43,73.90828361758882,-42.19587196652719,-13.28758834893833,-58.28758834893844,265.13332032905765,189.8927638036822,0.5815899581589958,crowd_cell
short,1,crowd_ge5,pre2025,55,15,-149.64426747240793,-17.17176545454545,-211.8160329269534,-256.8160329269534,649.1631370936866,541.1684018348625,0.6545454545454545,crowd_cell
short,1,crowd_ge5,post2025,239,43,73.90828361758882,-42.19587196652719,-13.28758834893833,-58.28758834893844,264.7661727564323,189.8927638036822,0.5815899581589958,crowd_cell
short,2,crowd_01,pooled,129,97,268.16565284154444,-45.70612635658915,177.4595264849553,132.45952648495523,235.6646198015192,644.4196181328545,0.6434108527131783,crowd_cell
short,2,crowd_01,e2122,49,38,335.92302369683466,-11.336565306122447,279.5864583907124,234.58645839071227,310.4624022072917,644.4196181328545,0.6122448979591837,crowd_cell
short,2,crowd_01,e2324,56,41,237.42646476697874,-60.389541071428575,132.03692369555023,87.03692369555019,332.978452684064,609.5843918923755,0.6785714285714286,crowd_cell
short,2,crowd_01,e2526,24,18,201.55245951931354,-81.6160125,74.9364470193134,29.93644701931327,773.5238789694683,673.9515140403623,0.625,crowd_cell
short,2,crowd_01,pre2025,105,79,283.3915256009115,-37.498152380952384,200.8933732199592,155.89337321995913,226.2561738903249,644.4196181328545,0.6476190476190476,crowd_cell
short,2,crowd_01,post2025,24,18,201.55245951931354,-81.6160125,74.9364470193134,29.93644701931327,744.9588572414201,673.9515140403623,0.625,crowd_cell
short,2,crowd_24,pooled,236,96,-101.1831578983448,-91.95161483050846,-238.13477272885322,-283.13477272885325,246.08286160529937,388.15489410454666,0.6059322033898306,crowd_cell
short,2,crowd_24,e2122,3,2,1016.7237557566776,-74.45583333333335,897.2679224233442,852.2679224233443,59.38312171219264,1010.7125612046971,0.6666666666666666,crowd_cell
short,2,crowd_24,e2324,119,54,124.83147396441699,-4.255838655462184,75.57563530895477,30.57563530895481,196.30541037963246,359.1615494040282,0.6218487394957983,crowd_cell
short,2,crowd_24,e2526,114,41,-366.5293152021492,-183.95411228070176,-595.483427482851,-640.4834274828512,461.5426707409167,397.1306326074487,0.5877192982456141,crowd_cell
short,2,crowd_24,pre2025,122,56,146.76325138553813,-5.982068032786884,95.7811833527512,50.781183352751285,192.1433457597934,370.63758745062825,0.6229508196721312,crowd_cell
short,2,crowd_24,post2025,114,41,-366.5293152021492,-183.95411228070176,-595.483427482851,-640.4834274828512,463.9421799562486,397.1306326074487,0.5877192982456141,crowd_cell
short,2,crowd_ge5,pooled,294,58,230.99878011351726,-28.188581632653058,157.81019848086422,112.8101984808642,194.5418874242261,224.70138727711503,0.5578231292517006,crowd_cell
short,2,crowd_ge5,e2122,0,,,,,,,,,crowd_cell
short,2,crowd_ge5,e2324,55,15,2.925507324079323,-17.56871454545455,-59.64320722137522,-104.64320722137522,550.5858392694115,321.2583188414484,0.5818181818181818,crowd_cell
short,2,crowd_ge5,e2526,239,43,283.4842612993711,-30.63248410041841,207.85177719895287,162.85177719895273,204.4084744907185,154.09988315629644,0.5523012552301255,crowd_cell
short,2,crowd_ge5,pre2025,55,15,2.925507324079323,-17.56871454545455,-59.64320722137522,-104.64320722137522,554.1793611520204,321.2583188414484,0.5818181818181818,crowd_cell
short,2,crowd_ge5,post2025,239,43,283.4842612993711,-30.63248410041841,207.85177719895287,162.85177719895273,201.89824633208426,154.09988315629644,0.5523012552301255,crowd_cell
